,Where did you find out about Orange?,What Data Mining level are you?,Where do you work?,Excel,IBM SPSS Statistics,KNIME,MATLAB,Python,Python Pandas,R,Rapid Miner,SQL,Weka,None,"Would you enjoy getting monthly tips and video tutorials on how to get the most out of Orange? If so, type your email below. <br><br>*<em>You can unsubscribe at any time and we will always respect your privacy.</em>"
0,Anaconda,Expert,Academia,0,1,1,1,0,0,1,1,1,1,1,1
1,Anaconda,Beginner,Research,1,1,1,1,1,1,0,1,1,1,1,1
2,Web,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
3,Job,Beginner,Industry,1,1,1,1,1,1,1,1,1,1,1,0
4,,Intermediate,Industry,0,1,1,1,0,1,0,1,0,1,1,0
5,Web,Beginner,Research,1,1,1,1,1,1,1,1,1,0,1,0
6,College,Beginner,I'm a student,0,1,1,1,1,1,1,1,0,1,1,1
7,Web,Beginner,I'm a student,0,1,1,1,0,1,1,1,0,1,1,0
8,College,Beginner,I'm a student,0,0,1,1,1,1,1,1,1,1,1,1
9,Anaconda,Beginner,I'm a student,0,1,1,0,0,0,0,1,1,1,1,0
10,Job,Beginner,Academia,0,1,1,1,1,1,1,1,1,1,1,1
11,Web,Beginner,I'm a student,1,0,1,1,1,1,1,1,1,1,1,1
12,School,Beginner,I'm a student,0,1,1,1,0,0,1,0,0,1,1,1
13,,Beginner,Academia,0,1,1,1,1,1,0,1,1,1,1,1
14,Friends,Intermediate,I'm a student,0,1,1,0,0,0,1,1,1,1,1,1
15,Web,Beginner,Industry,0,1,1,1,1,1,1,1,1,1,1,0
16,Web,Intermediate,,1,1,1,1,0,1,0,1,0,1,1,1
17,School,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
18,Anaconda,Beginner,Research,0,1,1,0,0,1,1,1,1,1,1,1
19,Anaconda,Beginner,Research,0,1,1,0,0,0,1,1,0,1,1,0
20,Anaconda,Beginner,,0,1,1,1,1,1,1,1,1,1,1,1
21,College,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,0,1,1
22,College,Beginner,I'm a student,0,1,1,1,0,0,1,1,1,1,1,0
23,Anaconda,Expert,Industry,0,1,1,1,0,0,0,1,0,1,1,1
24,Anaconda,Beginner,I'm a student,0,1,1,0,0,0,1,1,0,1,1,0
25,College,Beginner,I'm a student,1,1,1,1,0,1,1,1,0,1,1,1
26,Web,Beginner,I'm a student,1,1,1,1,0,0,1,1,1,1,1,0
27,Web,Intermediate,Academia,0,1,1,1,0,0,0,1,0,0,1,1
28,Anaconda,Intermediate,I'm a student,1,1,0,1,0,0,0,1,1,1,1,1
29,Anaconda,Beginner,Academia,0,1,1,0,0,0,1,1,0,0,1,0
30,Anaconda,Intermediate,Industry,0,1,1,1,1,1,1,1,1,1,1,0
31,College,Beginner,Research,1,1,1,0,1,1,1,1,1,0,1,0
32,College,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,1
33,Anaconda,Beginner,Research,1,0,1,1,1,1,1,1,1,1,1,0
34,Anaconda,Beginner,Academia,1,1,1,1,0,1,1,1,1,1,1,1
35,Web,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,1
36,Web,Beginner,I'm a student,0,1,1,1,0,1,1,1,0,1,1,0
37,College,Beginner,I'm a student,1,1,1,1,1,1,0,1,0,1,1,0
38,Anaconda,Beginner,I'm a student,0,1,1,0,0,1,1,1,1,1,1,1
39,Web,Beginner,I'm a student,0,1,1,0,1,1,1,1,1,1,1,1
40,Web,Beginner,,0,1,1,1,0,1,1,1,0,1,1,0
41,Friends,Intermediate,Industry,0,1,1,1,0,0,0,0,0,0,1,1
42,College,Beginner,I'm a student,0,1,1,1,0,0,1,1,1,1,1,0
43,Web,Beginner,I'm a student,1,1,1,0,1,1,1,1,1,1,1,0
44,Anaconda,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,0
45,Web,Beginner,Industry,0,1,1,1,0,0,1,1,0,1,1,1
46,School,Beginner,I'm a student,0,0,1,1,1,1,1,1,0,1,1,1
47,Web,Intermediate,Academia,0,1,1,1,1,1,1,1,1,1,1,1
48,Friends,Intermediate,Academia,0,1,1,1,1,1,1,1,1,1,1,1
49,Anaconda,Intermediate,,0,1,1,1,0,0,1,1,0,1,1,0
50,Web,Beginner,Academia,1,1,1,1,0,1,1,1,1,1,1,1
51,Web,Beginner,I'm a student,1,0,0,0,0,1,0,1,0,0,1,1
52,Web,Intermediate,,0,1,1,1,1,1,0,1,1,0,1,0
53,College,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,1,0,0
54,Job,Beginner,,1,1,1,1,0,1,1,1,0,1,1,0
55,Anaconda,Beginner,I'm a student,0,1,1,1,0,1,0,1,0,1,1,1
56,Web,Beginner,I'm a student,0,1,1,1,1,1,1,1,1,1,1,0
57,Web,Beginner,I'm a student,0,1,1,0,0,1,1,1,1,1,1,0
58,Friends,Beginner,Research,0,1,1,1,1,1,1,1,1,1,1,0
59,Web,Beginner,I'm a student,1,1,1,1,1,1,1,1,1,0,1,0
60,School,Intermediate,I'm a student,0,1,1,0,1,1,1,1,0,1,1,1
61,College,Intermediate,Industry,1,1,1,1,0,0,1,1,0,0,1,0
62,Anaconda,Beginner,Academia,1,1,1,1,1,0,1,1,1,1,1,1
63,Web,Intermediate,Academia,0,1,0,1,1,1,1,0,1,0,1,0
64,College,Beginner,I'm a student,1,1,1,1,0,1,1,1,1,0,1,0
65,Anaconda,Beginner,Academia,0,1,1,1,1,0,1,1,1,1,1,0
66,Friends,Beginner,Industry,1,1,1,1,0,1,1,1,1,1,1,0
67,Anaconda,Beginner,Industry,0,1,1,1,0,1,1,1,0,1,1,0
68,Anaconda,Intermediate,Industry,1,1,1,1,1,0,1,1,1,1,1,0
69,College,Intermediate,Research,0,0,1,1,1,1,0,1,1,1,1,1
70,Anaconda,Beginner,,1,1,1,1,0,0,0,1,0,1,1,0
